id,symbol,seqnames,strand,TSS,CAGE_representative_TSS,type
ENSG00000005020,SKAP2,chr7,-,27034858,26904209,protein_coding
ENSG00000005022,SLC25A5,chrX,+,118602363,118602408,protein_coding
ENSG00000005059,CCDC109B,chr4,+,110481361,110481402,protein_coding
ENSG00000005073,HOXA11,chr7,-,27224842,27224851,protein_coding
ENSG00000005075,POLR2J,chr7,-,102119354,102119369,protein_coding
ENSG00000005100,DHX33,chr17,-,5372380,5372289,protein_coding
ENSG00000005102,MEOX1,chr17,-,41739322,41739290,protein_coding
ENSG00000005108,THSD7A,chr7,-,11871824,11871824,protein_coding
ENSG00000005156,LIG3,chr17,+,33307513,33307531,protein_coding
ENSG00000005175,RPAP3,chr12,-,48099844,48099789,protein_coding
ENSG00000005187,ACSM3,chr16,+,20621565,20775336,protein_coding
ENSG00000005189,AC004381.6,chr16,+,20817751,20817849,protein_coding
ENSG00000005194,CIAPIN1,chr16,-,57481440,57481297,protein_coding
ENSG00000005238,FAM214B,chr9,-,35116338,35115847,protein_coding
ENSG00000005243,COPZ2,chr17,-,46115392,46115159,protein_coding
ENSG00000005249,PRKAR2B,chr7,+,106685094,106685151,protein_coding
ENSG00000005302,MSL3,chrX,+,11776278,11776356,protein_coding
ENSG00000005339,CREBBP,chr16,-,3930727,3930699,protein_coding
ENSG00000005379,BZRAP1,chr17,-,56406121,56406156,protein_coding
ENSG00000005381,MPO,chr17,-,56358296,56358296,protein_coding
ENSG00000005421,PON1,chr7,-,94954019,94953844,protein_coding
ENSG00000005436,GCFC2,chr2,-,75938115,75938041,protein_coding
ENSG00000005448,WDR54,chr2,+,74648805,74648857,protein_coding
ENSG00000005469,CROT,chr7,+,86974997,86974980,protein_coding
ENSG00000005471,ABCB4,chr7,-,87109751,87104996,protein_coding
ENSG00000005483,KMT2E,chr7,+,104654626,104654652,protein_coding
ENSG00000005486,RHBDD2,chr7,+,75471920,75508352,protein_coding
ENSG00000005513,SOX8,chr16,+,1031808,1031770,protein_coding
ENSG00000005700,IBTK,chr6,-,82957471,82957461,protein_coding
ENSG00000005801,ZNF195,chr11,-,3400452,3400369,protein_coding
ENSG00000005810,MYCBP2,chr13,-,77901185,77901221,protein_coding
ENSG00000005812,FBXL3,chr13,-,77601330,77601294,protein_coding
ENSG00000005844,ITGAL,chr16,+,30483979,30484072,protein_coding
ENSG00000005882,PDK2,chr17,+,48172101,48172716,protein_coding
ENSG00000005884,ITGA3,chr17,+,48133332,48133475,protein_coding
ENSG00000005889,ZFX,chrX,+,24167290,24167846,protein_coding
ENSG00000005893,LAMP2,chrX,-,119603220,119603151,protein_coding
ENSG00000005961,ITGA2B,chr17,-,42466873,42466873,protein_coding
ENSG00000005981,ASB4,chr7,+,95107756,95115255,protein_coding
ENSG00000006007,GDE1,chr16,-,19533467,19533420,protein_coding
ENSG00000006015,C19orf60,chr19,+,18699495,18699608,protein_coding
ENSG00000006016,CRLF1,chr19,-,18718551,18717609,protein_coding
ENSG00000006025,OSBPL7,chr17,-,45899200,45899160,protein_coding
ENSG00000006042,TMEM98,chr17,+,31254928,31255222,protein_coding
ENSG00000006047,YBX2,chr17,-,7197934,7197955,protein_coding
ENSG00000006059,KRT33A,chr17,-,39507064,39507080,protein_coding
ENSG00000006062,MAP3K14,chr17,-,43394406,43394383,protein_coding
ENSG00000006071,ABCC8,chr11,-,17498392,17498392,protein_coding
ENSG00000006116,CACNG3,chr16,+,24266874,24266912,protein_coding
ENSG00000006118,TMEM132A,chr11,+,60691935,60691946,protein_coding
ENSG00000006125,AP2B1,chr17,+,33905065,33914341,protein_coding
ENSG00000006128,TAC1,chr7,+,97361220,97361398,protein_coding
ENSG00000006194,ZNF263,chr16,+,3313800,3333491,protein_coding
ENSG00000006210,CX3CL1,chr16,+,57406370,57406403,protein_coding
ENSG00000006282,SPATA20,chr17,+,48620419,48624535,protein_coding
ENSG00000006283,CACNA1G,chr17,+,48638429,48638076,protein_coding
ENSG00000006327,TNFRSF12A,chr16,+,3068446,3070369,protein_coding
ENSG00000006377,DLX6,chr7,+,96634860,96635181,protein_coding
ENSG00000006432,MAP3K9,chr14,-,71276251,71276230,protein_coding
ENSG00000006451,RALA,chr7,+,39663082,39663171,protein_coding
ENSG00000006453,BAIAP2L1,chr7,-,98030380,98030402,protein_coding
ENSG00000006459,KDM7A,chr7,-,139876835,139876783,protein_coding
ENSG00000006468,ETV1,chr7,-,14031050,14029291,protein_coding
ENSG00000006530,AGK,chr7,+,141250989,141251210,protein_coding
ENSG00000006534,ALDH3B1,chr11,+,67776048,67777797,protein_coding
ENSG00000006555,TTC22,chr1,-,55266940,55266983,protein_coding
ENSG00000006576,PHTF2,chr7,+,77428109,77428195,protein_coding
ENSG00000006606,CCL26,chr7,-,75419214,75401529,protein_coding
ENSG00000006607,FARP2,chr2,+,242295658,242295700,protein_coding
ENSG00000006611,USH1C,chr11,-,17565963,17565926,protein_coding
ENSG00000006625,GGCT,chr7,-,30544460,30544445,protein_coding
ENSG00000006634,DBF4,chr7,+,87505531,87505808,protein_coding
ENSG00000006638,TBXA2R,chr19,-,3606838,3606859,protein_coding
ENSG00000006652,IFRD1,chr7,+,112063023,112090515,protein_coding
ENSG00000006659,LGALS14,chr19,+,40194946,40195123,protein_coding
ENSG00000006695,COX10,chr17,+,13972813,13972840,protein_coding
ENSG00000006704,GTF2IRD1,chr7,+,73868120,73868236,protein_coding
ENSG00000006712,PAF1,chr19,-,39881835,39881732,protein_coding
ENSG00000006715,VPS41,chr7,-,38971994,38948791,protein_coding
ENSG00000006740,ARHGAP44,chr17,+,12692856,12692815,protein_coding
ENSG00000006744,ELAC2,chr17,-,12921504,12921344,protein_coding
ENSG00000006747,SCIN,chr7,+,12610203,12610347,protein_coding
ENSG00000006756,ARSD,chrX,-,2847392,2847380,protein_coding
ENSG00000006757,PNPLA4,chrX,-,7895780,7895454,protein_coding
ENSG00000006788,MYH13,chr17,-,10276447,10276322,protein_coding
ENSG00000006831,ADIPOR2,chr12,+,1797740,1800236,protein_coding
ENSG00000006837,CDKL3,chr5,-,133706738,133706734,protein_coding
ENSG00000007001,UPP2,chr2,+,158733214,158733096,protein_coding
ENSG00000007038,PRSS21,chr16,+,2867181,2867238,protein_coding
ENSG00000007047,MARK4,chr19,+,45582546,45754539,protein_coding
ENSG00000007062,PROM1,chr4,-,16086001,16085646,protein_coding
ENSG00000007080,CCDC124,chr19,+,18043825,18043826,protein_coding
ENSG00000007129,CEACAM21,chr19,+,42055886,42055886,protein_coding
ENSG00000007168,PAFAH1B1,chr17,+,2496504,2496948,protein_coding
ENSG00000007171,NOS2,chr17,-,26127525,26127553,protein_coding
ENSG00000007174,DNAH9,chr17,+,11501748,11501788,protein_coding
ENSG00000007202,KIAA0100,chr17,-,26972472,26972174,protein_coding
ENSG00000007216,SLC13A2,chr17,+,26800311,26800662,protein_coding
ENSG00000007237,GAS7,chr17,-,10101868,10101923,protein_coding
ENSG00000007255,TRAPPC6A,chr19,-,45681495,45681495,protein_coding
ENSG00000007264,MATK,chr19,-,3802127,3786307,protein_coding
ENSG00000007306,CEACAM7,chr19,-,42210895,42192199,protein_coding
ENSG00000007312,CD79B,chr17,-,62009714,62009691,protein_coding
ENSG00000007314,SCN4A,chr17,-,62050278,62038836,protein_coding
ENSG00000007341,ST7L,chr1,-,113163447,113161747,protein_coding
ENSG00000007350,TKTL1,chrX,+,153524024,153524148,protein_coding
ENSG00000007372,PAX6,chr11,-,31839509,31832669,protein_coding
ENSG00000007376,RPUSD1,chr16,-,838397,838340,protein_coding
ENSG00000007384,RHBDF1,chr16,-,126354,122627,protein_coding
ENSG00000007392,LUC7L,chr16,-,279462,279415,protein_coding
ENSG00000007402,CACNA2D2,chr3,-,50541675,50541065,protein_coding
ENSG00000007516,BAIAP3,chr16,+,1383602,1383646,protein_coding
ENSG00000007520,TSR3,chr16,-,1401912,1401873,protein_coding
ENSG00000007541,PIGQ,chr16,+,616995,619981,protein_coding
ENSG00000007545,CRAMP1,chr16,+,1662326,1662388,protein_coding
ENSG00000007866,TEAD3,chr6,-,35464853,35464851,protein_coding
ENSG00000007908,SELE,chr1,-,169733846,169703220,protein_coding
ENSG00000007923,DNAJC11,chr1,-,6761984,6761866,protein_coding
ENSG00000007933,FMO3,chr1,+,171060018,171060046,protein_coding
ENSG00000007944,MYLIP,chr6,+,16129356,16129317,protein_coding
ENSG00000007952,NOX1,chrX,-,100129334,100129289,protein_coding
ENSG00000007968,E2F2,chr1,-,23857712,23857706,protein_coding
ENSG00000008018,PSMB1,chr6,-,170862429,170862387,protein_coding
ENSG00000008056,SYN1,chrX,-,47479252,47479256,protein_coding
ENSG00000008083,JARID2,chr6,+,15246527,15246302,protein_coding
ENSG00000008086,CDKL5,chrX,+,18443703,18443728,protein_coding
ENSG00000008118,CAMK1G,chr1,+,209757062,209757062,protein_coding
ENSG00000008128,CDK11A,chr1,-,1655763,1655773,protein_coding
ENSG00000008130,NADK,chr1,-,1711896,1709888,protein_coding
ENSG00000008196,TFAP2B,chr6,+,50786436,50786607,protein_coding
ENSG00000008197,TFAP2D,chr6,+,50681541,50681541,protein_coding
ENSG00000008226,DLEC1,chr3,+,38080696,38080699,protein_coding
ENSG00000008256,CYTH3,chr7,-,6312275,6312241,protein_coding
ENSG00000008277,ADAM22,chr7,+,87563458,87563566,protein_coding
ENSG00000008282,SYPL1,chr7,-,105753022,105752753,protein_coding
ENSG00000008283,CYB561,chr17,-,61523739,61523667,protein_coding
ENSG00000008294,SPAG9,chr17,-,49198226,49198226,protein_coding
ENSG00000008300,CELSR3,chr3,-,48700348,48700319,protein_coding
ENSG00000008311,AASS,chr7,-,121784334,121784303,protein_coding
ENSG00000008323,PLEKHG6,chr12,+,6419602,6419848,protein_coding
ENSG00000008324,SS18L2,chr3,+,42623332,42632352,protein_coding
ENSG00000008382,MPND,chr19,+,4343524,4343559,protein_coding
ENSG00000008394,MGST1,chr12,+,16500076,16500588,protein_coding
ENSG00000008405,CRY1,chr12,-,107487607,107487327,protein_coding
ENSG00000008438,PGLYRP1,chr19,-,46526323,46526311,protein_coding
ENSG00000008441,NFIX,chr19,+,13106422,13106301,protein_coding
ENSG00000008513,ST3GAL1,chr8,-,134584183,134584130,protein_coding
ENSG00000008516,MMP25,chr16,+,3096682,3096562,protein_coding
ENSG00000008517,IL32,chr16,+,3115298,3115641,protein_coding
ENSG00000008710,PKD1,chr16,-,2185899,2185899,protein_coding
ENSG00000008735,MAPK8IP2,chr22,+,51039114,51039224,protein_coding
ENSG00000008838,MED24,chr17,-,38217468,38210661,protein_coding
ENSG00000008853,RHOBTB2,chr8,+,22844930,22857061,protein_coding
ENSG00000008869,HEATR5B,chr2,-,37311485,37311469,protein_coding
ENSG00000008952,SEC62,chr3,+,169684423,169684599,protein_coding
ENSG00000008988,RPS20,chr8,-,56987140,56987065,protein_coding
ENSG00000009307,CSDE1,chr1,-,115301297,115300604,protein_coding
ENSG00000009335,UBE3C,chr7,+,156931607,156931643,protein_coding
ENSG00000009413,REV3L,chr6,-,111804918,111804370,protein_coding
ENSG00000009694,TENM1,chrX,-,124097666,124097626,protein_coding
ENSG00000009709,PAX7,chr1,+,18957500,18957351,protein_coding
ENSG00000009724,MASP2,chr1,-,11107290,11107296,protein_coding
ENSG00000009765,IYD,chr6,+,150690028,150690148,protein_coding
ENSG00000009780,FAM76A,chr1,+,28052490,28052495,protein_coding
ENSG00000009790,TRAF3IP3,chr1,+,209929377,209929453,protein_coding
ENSG00000009830,POMT2,chr14,-,77787227,77787219,protein_coding
ENSG00000009844,VTA1,chr6,+,142468299,142468400,protein_coding
ENSG00000009950,MLXIPL,chr7,-,73038873,73038852,protein_coding
ENSG00000009954,BAZ1B,chr7,-,72936608,72936570,protein_coding
ENSG00000010017,RANBP9,chr6,-,13711796,13712067,protein_coding
ENSG00000010030,ETV7,chr6,-,36355577,36355444,protein_coding
ENSG00000010072,SPRTN,chr1,+,231472850,231474039,protein_coding
ENSG00000010165,METTL13,chr1,+,171750804,171750814,protein_coding
ENSG00000010219,DYRK4,chr12,+,4671370,4714117,protein_coding
ENSG00000010244,ZNF207,chr17,+,30677136,30677176,protein_coding
ENSG00000010256,UQCRC1,chr3,-,48648409,48647079,protein_coding
ENSG00000010270,STARD3NL,chr7,+,38217824,38217974,protein_coding
ENSG00000010278,CD9,chr12,+,6308881,6309566,protein_coding
ENSG00000010282,HHATL,chr3,-,42744319,42744163,protein_coding
ENSG00000010292,NCAPD2,chr12,+,6602522,6603268,protein_coding
ENSG00000010295,IFFO1,chr12,-,6665249,6665208,protein_coding
ENSG00000010310,GIPR,chr19,+,46171502,46171479,protein_coding
ENSG00000010318,PHF7,chr3,+,52444577,52444676,protein_coding
ENSG00000010319,SEMA3G,chr3,-,52479101,52479119,protein_coding
ENSG00000010322,NISCH,chr3,+,52489134,52489646,protein_coding
ENSG00000010327,STAB1,chr3,+,52529354,52529354,protein_coding
ENSG00000010361,FUZ,chr19,-,50320633,50316534,protein_coding
ENSG00000010379,SLC6A13,chr12,-,372039,372002,protein_coding
ENSG00000010404,IDS,chrX,-,148602635,148586836,protein_coding
ENSG00000010438,PRSS3,chr9,+,33750464,33750677,protein_coding
ENSG00000010539,ZNF200,chr16,-,3286221,3285158,protein_coding
ENSG00000010610,CD4,chr12,+,6896024,6898706,protein_coding
ENSG00000010626,LRRC23,chr12,+,6982733,7013986,protein_coding
ENSG00000010671,BTK,chrX,-,100645784,100641179,protein_coding
ENSG00000010704,HFE,chr6,+,26087509,26087657,protein_coding
ENSG00000010803,SCMH1,chr1,-,41707826,41707810,protein_coding
ENSG00000010810,FYN,chr6,-,112194655,112194655,protein_coding
ENSG00000010818,HIVEP2,chr6,-,143266338,143266313,protein_coding
ENSG00000010932,FMO1,chr1,+,171217610,171217659,protein_coding
ENSG00000011007,TCEB3,chr1,+,24069645,24069961,protein_coding
ENSG00000011009,LYPLA2,chr1,+,24117460,24117675,protein_coding
ENSG00000011021,CLCN6,chr1,+,11866153,11866298,protein_coding
ENSG00000011028,MRC2,chr17,+,60704762,60705034,protein_coding
ENSG00000011083,SLC6A7,chr5,+,149569520,149569628,protein_coding
ENSG00000011105,TSPAN9,chr12,+,3186521,3186545,protein_coding
ENSG00000011114,BTBD7,chr14,-,93799438,93799382,protein_coding
ENSG00000011132,APBA3,chr19,-,3761697,3761642,protein_coding
ENSG00000011143,MKS1,chr17,-,56296966,56296614,protein_coding
ENSG00000011198,ABHD5,chr3,+,43731605,43732430,protein_coding
ENSG00000011201,ANOS1,chrX,-,8700228,8700178,protein_coding
ENSG00000011243,AKAP8L,chr19,-,15529952,15529799,protein_coding
ENSG00000011258,MBTD1,chr17,-,49337524,49337404,protein_coding
ENSG00000011260,UTP18,chr17,+,49337889,49337936,protein_coding
ENSG00000011275,RNF216,chr7,-,5821370,5821277,protein_coding
ENSG00000011295,TTC19,chr17,+,15902694,15903138,protein_coding
ENSG00000011304,PTBP1,chr19,+,797075,797452,protein_coding
ENSG00000011332,DPF1,chr19,-,38720354,38720335,protein_coding
ENSG00000011347,SYT7,chr11,-,61348620,61348548,protein_coding
ENSG00000011376,LARS2,chr3,+,45429998,45430068,protein_coding
ENSG00000011405,PIK3C2A,chr11,-,17229530,17229511,protein_coding
ENSG00000011422,PLAUR,chr19,-,44174699,44174321,protein_coding
ENSG00000011426,ANLN,chr7,+,36429415,36429471,protein_coding
ENSG00000011451,WIZ,chr19,-,15560762,15543496,protein_coding
ENSG00000011454,RABGAP1,chr9,+,125703112,125703299,protein_coding
ENSG00000011465,DCN,chr12,-,91576900,91576594,protein_coding
ENSG00000011478,QPCTL,chr19,+,46195741,46195932,protein_coding
ENSG00000011485,PPP5C,chr19,+,46850251,46850344,protein_coding
ENSG00000011523,CEP68,chr2,+,65283500,65283580,protein_coding
ENSG00000011566,MAP4K3,chr2,-,39664453,39664417,protein_coding
ENSG00000011590,ZBTB32,chr19,+,36195429,36204328,protein_coding
ENSG00000011600,TYROBP,chr19,-,36399197,36399197,protein_coding
ENSG00000011638,TMEM159,chr16,+,21169698,21170000,protein_coding
ENSG00000011677,GABRA3,chrX,-,151619830,151619752,protein_coding
ENSG00000012048,BRCA1,chr17,-,41322262,41277381,protein_coding
ENSG00000012061,ERCC1,chr19,-,45982086,45927166,protein_coding
ENSG00000012124,CD22,chr19,+,35810164,35820090,protein_coding
ENSG00000012171,SEMA3B,chr3,+,50304990,50306603,protein_coding
ENSG00000012174,MBTPS2,chrX,+,21857754,21857747,protein_coding
ENSG00000012211,PRICKLE3,chrX,-,49042981,49042826,protein_coding
ENSG00000012223,LTF,chr3,-,46526724,46506395,protein_coding
ENSG00000012232,EXTL3,chr8,+,28457986,28559113,protein_coding
ENSG00000012504,NR1H4,chr12,+,100867486,100867644,protein_coding
ENSG00000012660,ELOVL5,chr6,-,53213977,53213748,protein_coding
ENSG00000012779,ALOX5,chr10,+,45869624,45869664,protein_coding
ENSG00000012817,KDM5D,chrY,-,21906825,21906612,protein_coding
ENSG00000012822,CALCOCO1,chr12,-,54121529,54121230,protein_coding
ENSG00000012963,UBR7,chr14,+,93673401,93673615,protein_coding
ENSG00000012983,MAP4K5,chr14,-,51027844,50999287,protein_coding
ENSG00000013016,EHD3,chr2,+,31457203,31457018,protein_coding
ENSG00000013275,PSMC4,chr19,+,40476912,40477072,protein_coding
ENSG00000013288,MAN2B2,chr4,+,6576902,6576917,protein_coding
ENSG00000013293,SLC7A14,chr3,-,170303863,170303797,protein_coding
ENSG00000013297,CLDN11,chr3,+,170136653,170136656,protein_coding
ENSG00000013306,SLC25A39,chr17,-,42402238,42402191,protein_coding
ENSG00000013364,MVP,chr16,+,29831715,29831794,protein_coding
ENSG00000013374,NUB1,chr7,+,151038785,151038898,protein_coding
ENSG00000013375,PGM3,chr6,-,83903655,83902976,protein_coding
ENSG00000013392,RWDD2A,chr6,+,83903098,83903076,protein_coding
ENSG00000013441,CLK1,chr2,-,201729467,201729381,protein_coding
ENSG00000013503,POLR3B,chr12,+,106751436,106751584,protein_coding
ENSG00000013523,ANGEL1,chr14,-,77292589,77279204,protein_coding
ENSG00000013561,RNF14,chr5,+,141337893,141348670,protein_coding
ENSG00000013563,DNASE1L1,chrX,-,153640449,153637541,protein_coding
ENSG00000013573,DDX11,chr12,+,31226779,31226797,protein_coding
ENSG00000013583,HEBP1,chr12,-,13153207,13153196,protein_coding
ENSG00000013588,GPRC5A,chr12,+,13043716,13044499,protein_coding
ENSG00000013619,MAMLD1,chrX,+,149529689,149531545,protein_coding
ENSG00000013725,CD6,chr11,+,60739152,60739208,protein_coding
ENSG00000013810,TACC3,chr4,+,1723217,1723249,protein_coding
ENSG00000014123,UFL1,chr6,+,96969471,96969715,protein_coding
ENSG00000014138,POLA2,chr11,+,65029233,65029433,protein_coding
ENSG00000014164,ZC3H3,chr8,-,144623623,144623607,protein_coding
ENSG00000014216,CAPN1,chr11,+,64948037,64949399,protein_coding
ENSG00000014257,ACPP,chr3,+,132036211,132036251,protein_coding
ENSG00000014641,MDH1,chr2,+,63815743,63816097,protein_coding
ENSG00000014824,SLC30A9,chr4,+,41992489,41992547,protein_coding
ENSG00000014914,MTMR11,chr1,-,149908791,149908772,protein_coding
ENSG00000014919,COX15,chr10,-,101491857,101491852,protein_coding
ENSG00000015133,CCDC88C,chr14,-,91884188,91884158,protein_coding
ENSG00000015153,YAF2,chr12,-,42632151,42632047,protein_coding
ENSG00000015171,ZMYND11,chr10,+,180405,181395,protein_coding
ENSG00000015285,WAS,chrX,+,48534985,48542207,protein_coding
ENSG00000015413,DPEP1,chr16,+,89679716,89696679,protein_coding
ENSG00000015475,BID,chr22,-,18257536,18257235,protein_coding
ENSG00000015479,MATR3,chr5,+,138629337,138629432,protein_coding
ENSG00000015520,NPC1L1,chr7,-,44580914,44580900,protein_coding
ENSG00000015532,XYLT2,chr17,+,48423453,48423487,protein_coding
ENSG00000015568,RGPD5,chr2,+,110550335,110551882,protein_coding
ENSG00000015592,STMN4,chr8,-,27115937,27115921,protein_coding
ENSG00000015676,NUDCD3,chr7,-,44530479,44530257,protein_coding
ENSG00000016082,ISL1,chr5,+,50679225,50679282,protein_coding
ENSG00000016391,CHDH,chr3,-,53880417,53880446,protein_coding
ENSG00000016402,IL20RA,chr6,-,137366317,137365861,protein_coding
ENSG00000016490,CLCA1,chr1,+,86934051,86934610,protein_coding
ENSG00000016602,CLCA4,chr1,+,87012761,87012761,protein_coding
ENSG00000016864,GLT8D1,chr3,-,52740099,52739807,protein_coding
ENSG00000017260,ATP2C1,chr3,+,130569439,130613049,protein_coding
ENSG00000017427,IGF1,chr12,-,102874423,102874341,protein_coding
ENSG00000017483,SLC38A5,chrX,-,48328644,48327801,protein_coding
ENSG00000017797,RALBP1,chr18,+,9475007,9475514,protein_coding
ENSG00000018189,RUFY3,chr4,+,71569921,71587703,protein_coding
ENSG00000018236,CNTN1,chr12,+,41086244,41086259,protein_coding
ENSG00000018280,SLC11A1,chr2,+,219246752,219246996,protein_coding
ENSG00000018408,WWTR1,chr3,-,149454501,149375812,protein_coding
ENSG00000018510,AGPS,chr2,+,178257372,178257501,protein_coding
ENSG00000018610,CXorf56,chrX,-,118699371,118699347,protein_coding
ENSG00000018625,ATP1A2,chr1,+,160085549,160085549,protein_coding
ENSG00000018699,TTC27,chr2,+,32853099,32853163,protein_coding
ENSG00000018869,ZNF582,chr19,-,56904914,56904903,protein_coding
ENSG00000019102,VSIG2,chr11,-,124622134,124622089,protein_coding
ENSG00000019144,PHLDB1,chr11,+,118477155,118478330,protein_coding
ENSG00000019169,MARCO,chr2,+,119699742,119699898,protein_coding
ENSG00000019186,CYP24A1,chr20,-,52790512,52790525,protein_coding
ENSG00000019485,PRDM11,chr11,+,45117357,45168190,protein_coding
ENSG00000019505,SYT13,chr11,-,45307870,45307884,protein_coding
ENSG00000019549,SNAI2,chr8,-,49834299,49833988,protein_coding
ENSG00000019582,CD74,chr5,-,149792492,149792314,protein_coding
ENSG00000019991,HGF,chr7,-,81399754,81399363,protein_coding
ENSG00000019995,ZRANB1,chr10,+,126630692,126630692,protein_coding
ENSG00000020129,NCDN,chr1,+,36023074,36023421,protein_coding
ENSG00000020181,ADGRA2,chr8,+,37641709,37654401,protein_coding
ENSG00000020256,ZFP64,chr20,-,50820847,50808317,protein_coding
ENSG00000020426,MNAT1,chr14,+,61201460,61201490,protein_coding
ENSG00000020577,SAMD4A,chr14,+,55033815,55033883,protein_coding
ENSG00000020633,RUNX3,chr1,-,25291612,25256767,protein_coding
ENSG00000020922,MRE11A,chr11,-,94227074,94227000,protein_coding
ENSG00000021300,PLEKHB1,chr11,+,73357223,73358700,protein_coding
